waste,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
W1501,RT,AT	69.4 	64.3 	65.9 	64.2 	66.2 	66.9 	68.4 	67.2 	67.9 	66.9 	66.6 	65.8 	65.9 	66.6 	66.6 	67.1 	66.8 	65.6 	65.5 	65.4 
W1501,RT,BE	62.5 	71.3 	70.2 	73.9 	76.4 	76.8 	79 	80.4 	78.9 	79.1 	79.8 	80.2 	80.3 	78.7 	81.3 	81.5 	81.9 	83.8 	85.3 	84.2 
W1501,RT,BG	: 	: 	: 	: 	: 	30.8 	35 	54.8 	50.3 	45.9 	61.6 	65.1 	66.5 	65.7 	62 	64.1 	63.8 	65.6 	60.4 	: 
W1501,RT,CY	: 	: 	: 	: 	22 	11.1 	25.2 	25.7 	34 e	42.2 	50 	52 	55.3 e	56.6 	58.7 	59.8 	64.6 	66.2 	70.2 	66.8 
W1501,RT,CZ	: 	: 	: 	51.4 	55.7 	59 	63.4 	65.9 	67.1 	68.8 	70 	69.7 	69.9 	69.9 	73 	74.3 	75.3 	73.7 	69.6 	71.2 
W1501,RT,DE	78 	75.9 	74.4 	70.6 	69.6 	68.2 	66.5 	66.9 	70.5 	73.5 	72.7 	71.8 	71.3 	71.8 	71.4 	69.3 	70.7 	69.9 	68.5 	63.2 b
W1501,RT,DK	55.7 	57.2 	57.3 	53.8 	53.2 	52.5 	56.2 	56.8 	59.7 	84 	84 e	54.3 be	61.6 e	69.8 	69.8 	73.9 	79 	71.5 	70.1 	71.2 
W1501,RT,EE	: 	: 	: 	: 	33.5 	40.3 	45.7 	49.6 	43.5 	57.2 	56.1 	62.9 	61.3 	58.4 	60.3 	59 	56 	53.5 	60.4 	66.2 
W1501,RT,EL	33.3 	33.4 	32.6 	33.1 	36.7 	41.8 	42.8 	48 	43.8 e	52.3 	58.7 	62.1 e	58.6 	52.4 	53.8 	60.3 	66.1 	68.6 	63.6 e	60.1 e
W1501,RT,ES	39.8 	43.6 	44.3 	43.1 	47.4 	50.4 	54 	56.3 	59.1 	60.3 	61.9 	63.9 	65.5 	66.6 	68.7 	68.4 	70.3 	68.5 	68.8 	69.6 
W1501,RT,EU27_2020	: 	: 	: 	: 	: 	54.7 s	56.8 s	59.1 s	60.4 s	62.6 s	64 s	64.2 s	65.2 	65.4 	66.5 	66.6 	67.6 	67.5 	66.6 	64.8 s
W1501,RT,EU28	: 	: 	: 	: 	: 	54.6 s	56.9 s	59.2 s	60.5 s	62.4 s	63.5 s	63.8 s	64.7 	65.3 	65.5 	65.8 	67.2 	67 	66 	: 
W1501,RT,FI	49.8 	47.2 	49.2 	40.8 	39.9 	43.2 	49.1 	51.9 	56.7 	55.5 	55.4 	58.7 	59.3 	58 	57.4 	60.9 	64.7 	65.2 	70.2 	70.6 
W1501,RT,FR	42.2 	44 	45.4 	47.9 	50.7 	53.3 	54.8 	57 	55.2 	56.4 	61.1 	61.3 	64.9 	66.4 	65.2 	65.5 	66 	68.1 	69 	65.6 
W1501,RT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.7 	58.8 	52.7 	60.1 	54.7 	53.3 	58.4 	48.9 
W1501,RT,HU	: 	: 	: 	: 	43.3 	45.9 	48.9 	46.4 	50.8 	51.1 	58.7 	59.3 	48.5 	49.2 	48.4 	50.1 	49.7 	49.7 	46.1 	47.3 
W1501,RT,IE	18.9 	27 	34.9 	51.2 	56.4 	55.6 	54.5 	60.6 	61.7 s	64.9 	66.2 	70.9 	74 	70.2 	68.3 	67.5 	67 	65.6 	63.9 	62.5 
W1501,RT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.7 	46.2 	41.8 	: 	: 	50.6 	51.6 	46.8 	: 	: 
W1501,RT,IT	38.4 	45.5 	51.4 	51.4 	53.3 	53.7 	54.9 	56.8 	59.6 	64 	64.4 	64.5 	66.6 	66.7 	65.4 	66.8 	66.9 	67.1 	68.3 	69.6 
W1501,RT,LI	: 	: 	: 	: 	: 	: 	48.9 	48.5 	47 	50 	45.9 	48.7 	44.3 	50.3 	51.9 	66.1 	65.8 	66.7 	68 	70 
W1501,RT,LT	: 	: 	: 	: 	32.7 	32.5 	37 	42.9 	51.7 	57.7 	60.4 	62.2 	62.2 	53.5 	57.7 	59.8 	69.5 	61.8 	60.7 	61.9 
W1501,RT,LU	45.2 	57.3 	56.8 	60.1 	61 	62.6 	63.8 	62.5 	63.6 	61 	66 	66 	62.5 	62.8 	66 	70 	70.3 	69.7 	70.9 	71.5 
W1501,RT,LV	: 	: 	: 	: 	45.6 	47 	42.2 	39.6 	46.8 	44.9 	48.9 	50.9 	51.1 	51 	54.9 	53.9 	57.7 	58.7 	55.8 	62.4 
W1501,RT,MT	: 	: 	: 	: 	5.9 	8.1 	10.8 	10.4 	45.9 	36 	28.5 	42.3 	46.6 	38.1 	41.1 	37.1 	39.7 	35.6 	35.7 	: 
W1501,RT,NL	58.8 	56 	57.4 	56.4 	58.5 	59.4 	70.2 	69.8 	72.4 	74.9 	73.9 	71.9 	69.3 	70.4 	70.5 	71.7 	72.6 	78.1 	79.4 	80.7 
W1501,RT,NO	: 	: 	: 	: 	: 	: 	70.3 	68.4 	54.7 	53.1 	56.7 	57.5 	55.9 	54.5 	55.7 	55.1 	56.3 	54.5 	52.9 	53.9 
W1501,RT,PL	: 	: 	: 	: 	28.3 	29.5 	37.1 	48.2 	42.9 	36.8 	38.9 	41.2 	41.4 	36.1 	55.4 	57.6 	58 	56.7 	58.7 	55.5 
W1501,RT,PT	30.8 	37.7 	35.8 	38.3 	41 	44.3 	51.4 	56.5 	61 	59.9 	55.5 	58.4 	56.9 	61.5 	61 	57.1 	60.9 	55.3 b	57.6 	62.8 
W1501,RT,RO	: 	: 	: 	: 	: 	23 	28.6 	30.6 	33.5 	40.5 	43.4 	50 	56.8 	52.8 	54.8 	55.9 	60.4 	60.4 	57.9 	: 
W1501,RT,SE	57.8 	63.2 	64.7 	60 	49.8 	48.2 	58.1 	59.3 	58.5 	58.9 	69.2 	71.5 	69.6 	71.9 	70.5 	71.8 	68.2 	71.7 	70.1 	63.6 
W1501,RT,SI	: 	: 	: 	: 	34.3 	45.3 	40.3 	46.9 	52.4 	49.6 	61 	63.6 	66.9 	69 	70.4 	67 	69.4 	70.1 	68 	67.1 
W1501,RT,SK	: 	: 	: 	36.3 	37.6 	29.8 	36.3 	61.1 	47.7 	59.9 	45.7 	62.4 	68.1 	65.9 	65.4 	64.3 	65.8 	65.7 	66.6 	67.5 
W1501,RT,UK	39.9 	42.4 	44.2 	46.8 	49.7 	54.4 	57.5 	59.3 	61.5 	61.8 	60.7 	60.8 	61.4 	64.6 	59.2 	60.6 	64.7 	63.9 	62.1 	: 
W150101,RT,AT	86.9 	81.4 	80 	81.5 	83.2 	86.4 	87 	83.5 	85.4 	84.8 	84.5 	84.5 	84.9 	84.3 	84.9 	84.9 	84.9 	83.5 	84.2 	84.7 
W150101,RT,BE	82.1 	85.8 	78.4 	79.2 	83.4 	83.3 	89.1 	92 	89.4 	88 	89.8 	90.4 	89.8 	89.1 	90.6 	90.7 	89.4 	92.9 	95.6 	92.3 
W150101,RT,BG	: 	: 	: 	: 	: 	81.6 	51.8 	97.8 	84.9 	67.3 	81.9 	98.1 	94.2 	88.8 	70.1 	78.7 	80.1 	79.6 	63.3 	: 
W150101,RT,CY	: 	: 	: 	: 	42.3 	12.9 	38 	39.2 	59.9 e	78.9 	83.4 	88.3 	88.9 e	97.3 	96.7 	96.6 	99.7 	93.3 	97.9 e	99.5 e
