waste,unit,geo\time	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
W1501,RT,AT	69.4	64.3	65.9	64.2	66.2	66.9	68.4	67.2	67.9	66.9	66.6	65.8	65.9	66.6	66.6	67.1	66.8	65.6	65.5	65.4
W1501,RT,BE	62.5	71.3	70.2	73.9	76.4	76.8	79.0	80.4	78.9	79.1	79.8	80.2	80.3	78.7	81.3	81.5	81.9	83.8	85.3	84.2
W1501,RT,BG						30.8	35.0	54.8	50.3	45.9	61.6	65.1	66.5	65.7	62.0	64.1	63.8	65.6	60.4	
W1501,RT,CY					22.0	11.1	25.2	25.7	34.0	42.2	50.0	52.0	55.3	56.6	58.7	59.8	64.6	66.2	70.2	66.8
W1501,RT,CZ				51.4	55.7	59.0	63.4	65.9	67.1	68.8	70.0	69.7	69.9	69.9	73.0	74.3	75.3	73.7	69.6	71.2
W1501,RT,DE	78.0	75.9	74.4	70.6	69.6	68.2	66.5	66.9	70.5	73.5	72.7	71.8	71.3	71.8	71.4	69.3	70.7	69.9	68.5	63.2
W1501,RT,DK	55.7	57.2	57.3	53.8	53.2	52.5	56.2	56.8	59.7	84.0	84.0	54.3	61.6	69.8	69.8	73.9	79.0	71.5	70.1	71.2
W1501,RT,EE					33.5	40.3	45.7	49.6	43.5	57.2	56.1	62.9	61.3	58.4	60.3	59.0	56.0	53.5	60.4	66.2
W1501,RT,EL	33.3	33.4	32.6	33.1	36.7	41.8	42.8	48.0	43.8	52.3	58.7	62.1	58.6	52.4	53.8	60.3	66.1	68.6	63.6	60.1
W1501,RT,ES	39.8	43.6	44.3	43.1	47.4	50.4	54.0	56.3	59.1	60.3	61.9	63.9	65.5	66.6	68.7	68.4	70.3	68.5	68.8	69.6
W1501,RT,EU27_2020						54.7	56.8	59.1	60.4	62.6	64.0	64.2	65.2	65.4	66.5	66.6	67.6	67.5	66.6	64.8
W1501,RT,EU28						54.6	56.9	59.2	60.5	62.4	63.5	63.8	64.7	65.3	65.5	65.8	67.2	67.0	66.0	
W1501,RT,FI	49.8	47.2	49.2	40.8	39.9	43.2	49.1	51.9	56.7	55.5	55.4	58.7	59.3	58.0	57.4	60.9	64.7	65.2	70.2	70.6
W1501,RT,FR	42.2	44.0	45.4	47.9	50.7	53.3	54.8	57.0	55.2	56.4	61.1	61.3	64.9	66.4	65.2	65.5	66.0	68.1	69.0	65.6
W1501,RT,HR													59.7	58.8	52.7	60.1	54.7	53.3	58.4	48.9
W1501,RT,HU					43.3	45.9	48.9	46.4	50.8	51.1	58.7	59.3	48.5	49.2	48.4	50.1	49.7	49.7	46.1	47.3
